shoe_type,price,rating_value,rating_count
Men'S Lightweight Shoes - Casual Athletic Sneakers - Black Canvas,"₦ 7,999",3.5,188
Men'S Simple Easy Men's Casual Sneakers Shoes - Sport Easy Wear Simple Canvas - Black,"₦ 7,999",3.6,113
Men'S Simple Casual Comfortable Easy Wear Office Shoes - Size  - Black,"₦ 9,999",3.9,22
Men's Sneakers Soft Mesh - New Casual Walking Sport Shoes- Black Canvas,"₦ 7,999",3.5,24
KANGERDUN Men Soccer Shoes AG High Ankle Football Boots Men Sneakers,"₦ 27,040",5,1
Men Shoes Sneakers  Sport Mountaineering Shoes Water Shoes Outdoor Hiking  Shoes,"₦ 12,500",4.1,16
Men'S Classic Black And White Casual Running Sport Trendy Breathable Sneakers,"₦ 19,999",4.1,22
Men'S New Simple Casual Plain Walkabout Running Sport Shoes,"₦ 7,999",3.9,25
Men'S Shoe - Casual Shoes - Loafers Sport Shoes - Black,"₦ 8,999",3.9,39
Men'S 2024 Simple Casual Canvas For Men - Outdoor Fashion Shoes - Grey,"₦ 11,999",4.1,8
Men'S Simple Casual Comfortable Easy Wear Fancy Shoes - Size  - Black,"₦ 7,999",3.9,79
Men'S Black Casual Outdoor Sneakers - Comfortable Running Quality Fashion Shoes Canvas,"₦ 11,999",4.1,12
Sports Men Fast Football Boot White,"₦ 18,000",4.6,8
Men'S 2024 Men's Space Fashion Running Sneakers,"₦ 9,999",3.5,4
Men'S Simple Lightweight Shoes - Casual Athletic Sneakers - Black Canvas,"₦ 7,999",4.8,5
Men'S Simple Casual Outdoor Quality Shoe - 2025 Fashion Sneakers - Black,"₦ 7,999",4.2,9
Men Fast Soccer Boots Black/Blue,"₦ 14,500",4.1,14
Vangelo T CHAIN  DESIGNERS SHOE BLACK,"₦ 23,980",4.3,6
Men'S Casual Running Mens High Basketball Sneakers - Simple Outdoor Trainers Canvas,"₦ 7,999",4,6
Men'S Simple Lightweight Shoes - Casual Athletic Sneakers - Black Canvas,"₦ 7,999",4.3,7
Sports Men Fast Football Boot Green,"₦ 18,000",5,4
Men'S Cheap Simple Casual Sport Jogging Shoes - Running Canvas - Size - Black,"₦ 7,999",3.4,23
Mens Formal Office Meeting Fitting Shoe,"₦ 9,999",2.7,3
NASUN New Arrival FOOTBALL Boot BLACK,"₦ 28,800",5,3
Men's Ultra-Light Sport Shoes Breathable Mesh Running Sneakers - Black,"₦ 6,916",1,1
Men'S Trendy Men's Outdoor Sport Lace-up Casual Comfortable Sneakers - Canvas - Size,"₦ 19,999",4.5,2
Men'S Sneakers - 2024 Sneakers - Breathable Trainers Running Canvas - Black,"₦ 7,999",4,12
Sports Men Fast Football Boot Orange,"₦ 18,000",4.7,3
Men's Easy Wear Casual Outdoor Sport Running - 2023 Simple Cheap Sneakers- Black,"₦ 7,999",3.8,40
DEPALLY ROUND STONE DESIGNERS SHOE BLACK,"₦ 27,980",5,6
GALUIN Men's Damping Running Shoes Breathable Sneaker,"₦ 8,800",4.2,5
Men Only New Casual Men's Sneakers Shoes - Simple Canvas,"₦ 7,999",3.3,6
Men'S Simple quality comfortable and fashionable running shoes for both boys and girls,"₦ 19,999",3.5,6
Men Fast Soccer Boots Blue,"₦ 14,500",3.6,16
Men'S 2024 Simple Casual Canvas For Men - Outdoor Fashion Shoes - Black,"₦ 7,999",3.3,11
Men's Trending Shoes Sneakers Breathable  Soft Sole Casual-Black,"₦ 7,999",3.5,4
